Basic Block,Assembly,Source Line,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Module Path,Function Range Size,Start Address
0x3bc30,Block 1,[Unknown],0.020046,0.020046,0.0,0.020046,0.0,0.0,0.0,0.0,0.0,0,,1.500000,[Unknown],[Unknown],[Unknown],[Unknown],0x0,0x0
0x3bc30,pushq  %rbp,299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc31,"mov %rsp, %rbp",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc34,"and $0xffffffffffffffc0, %rsp",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc38,pushq  %r12,299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc3a,pushq  %r13,299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc3c,pushq  %r14,299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc3e,pushq  %r15,299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc40,pushq  %rbx,299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc41,"sub $0x1d8, %rsp",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc48,"mov %esi, %ebx",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc4a,"movq  0x28(%rbp), %rax",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc4e,"xor %r12d, %r12d",339,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc51,"movq  %r9, 0x8(%rsp)",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc56,"movq  %r8, 0x10(%rsp)",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc5b,"movq  %rcx, 0x190(%rsp)",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bc63,"movq  %rdx, 0x198(%rsp)",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
